psi0,nu,N,chitc,href,id,col0,col1,col2,col3,col4,col5
-0.040531,0.2923,0.3830,2.5241,62.6210,1,5.444927e-01,4.563448e-01,6.525000e-01,3.598187e-01,4.128166e-01,1.993500e+00
-0.101719,0.3493,0.3736,2.2651,63.2305,1,5.310436e-01,4.277480e-01,5.235000e-01,3.684788e-01,3.991317e-01,1.260000e+00
0.006774,0.3029,0.1455,2.1974,78.9207,1,5.531900e-01,4.614660e-01,5.775000e-01,2.790481e-01,3.432143e-01,3.712500e+00
-0.020825,0.3046,0.4727,4.3356,63.9995,1,5.413559e-01,4.510125e-01,6.345000e-01,3.709718e-01,4.158715e-01,1.759500e+00
-0.198819,0.1564,0.2076,4.1352,8.0586,1,4.895847e-01,3.954333e-01,1.431000e+00,4.305200e-01,3.940469e-01,2.055000e+00
0.013717,0.2632,0.3506,2.2993,113.2433,1,5.806472e-01,5.421612e-01,7.365000e-01,3.663510e-01,4.540084e-01,6.772500e+00
-0.071916,0.3349,0.4585,1.4891,137.0705,1,5.511716e-01,5.368038e-01,6.690000e-01,4.852985e-01,5.334954e-01,1.009500e+00
-0.027882,0.1430,0.4663,4.7486,29.3018,1,5.364880e-01,4.521231e-01,1.201500e+00,3.996629e-01,4.326841e-01,2.973000e+00
-0.030633,0.2814,0.4473,5.1810,39.8109,1,5.299768e-01,4.194225e-01,7.050000e-01,3.599699e-01,3.877270e-01,1.933500e+00
-0.070795,0.3210,0.4497,1.5124,41.2530,1,5.303981e-01,3.890253e-01,5.205000e-01,2.390273e-01,2.773090e-01,2.781000e+00
-0.032163,0.1648,0.2770,1.8024,63.7799,1,5.649689e-01,5.426424e-01,1.132500e+00,4.489668e-01,5.258662e-01,2.697000e+00
-0.006103,0.3248,0.1653,4.1342,130.3988,1,5.617069e-01,5.358151e-01,6.210000e-01,4.339420e-01,5.144830e-01,1.417500e+00
0.004574,0.1883,0.2336,3.8288,56.8621,1,5.610381e-01,4.972153e-01,9.225000e-01,3.533742e-01,4.295557e-01,4.225500e+00
0.014654,0.2277,0.2790,2.9909,9.3966,1,5.100969e-01,3.431050e-01,6.855000e-01,9.523968e-02,1.163904e-01,1.290900e+01
-0.112710,0.3153,0.5090,1.7140,16.2432,1,5.145371e-01,3.297331e-01,5.205000e-01,1.695595e-01,1.874247e-01,3.888000e+00
-0.138624,0.2237,0.1800,4.5011,7.5146,1,5.078967e-01,3.506129e-01,8.295000e-01,2.742080e-01,2.917959e-01,3.196500e+00
-0.130148,0.1353,0.5465,1.3012,18.8748,1,5.328431e-01,3.940901e-01,1.090500e+00,2.931199e-01,3.237126e-01,4.942500e+00
-0.028264,0.3266,0.2650,2.2366,21.4826,1,5.152974e-01,3.522757e-01,4.740000e-01,1.429851e-01,1.714894e-01,4.455000e+00
-0.038473,0.3053,0.2779,3.1107,76.6041,1,5.440394e-01,4.841914e-01,6.585000e-01,4.068724e-01,4.628485e-01,1.503000e+00
0.015912,0.3368,0.4437,5.5479,75.4041,1,5.367977e-01,4.296230e-01,4.935000e-01,2.388191e-01,2.923559e-01,3.480000e+00
-0.086450,0.2273,0.3871,1.0855,23.0776,1,5.286271e-01,3.828499e-01,7.350000e-01,2.092072e-01,2.471542e-01,5.344500e+00
-0.110360,0.1937,0.4024,4.6858,9.4638,1,5.104897e-01,3.443459e-01,1.078500e+00,3.476105e-01,3.220416e-01,2.878500e+00
-0.143456,0.3143,0.2700,4.2322,12.3261,1,5.090788e-01,3.383205e-01,5.955000e-01,2.896117e-01,2.901183e-01,1.989000e+00
-0.006716,0.1368,0.2014,2.5448,76.4165,1,5.788388e-01,5.901240e-01,1.306500e+00,4.858637e-01,5.788305e-01,2.907000e+00
-0.049779,0.2755,0.1899,1.2836,110.7317,1,5.664833e-01,5.553581e-01,7.890000e-01,4.613987e-01,5.420442e-01,1.645500e+00
-0.103124,0.1334,0.3939,2.0598,29.5443,1,5.339273e-01,4.653854e-01,1.308000e+00,4.285122e-01,4.557625e-01,2.634000e+00
-0.084844,0.2427,0.5540,1.1879,16.7450,1,5.209395e-01,3.529847e-01,6.870000e-01,1.678519e-01,1.942739e-01,6.195000e+00
-0.006256,0.3012,0.2244,4.6955,25.8230,1,5.184245e-01,3.734710e-01,5.475000e-01,1.966471e-01,2.351358e-01,3.723000e+00
0.004698,0.2123,0.1355,2.2955,14.4962,1,5.177067e-01,3.616083e-01,7.350000e-01,1.275319e-01,1.566997e-01,1.044300e+01
-0.066715,0.3089,0.4818,5.4254,7.2055,1,5.063041e-01,2.910392e-01,5.745000e-01,1.932622e-01,1.879558e-01,3.579000e+00
0.004404,0.3500,0.3630,3.0959,124.0551,1,5.580439e-01,4.830336e-01,4.920000e-01,3.286875e-01,3.994147e-01,2.103000e+00
0.026048,0.3479,0.4153,1.7279,54.8016,1,5.297528e-01,3.897228e-01,4.395000e-01,1.350839e-01,1.672549e-01,8.622000e+00
-0.069672,0.3253,0.3968,5.6997,15.0006,1,5.100950e-01,3.281480e-01,5.580000e-01,2.713511e-01,2.689891e-01,2.103000e+00
-0.093151,0.2975,0.5254,1.2575,31.9656,1,5.284489e-01,3.772368e-01,5.730000e-01,2.253716e-01,2.586968e-01,3.408000e+00
-0.005312,0.2979,0.3804,1.5364,42.7992,1,5.339926e-01,4.012012e-01,5.550000e-01,1.948873e-01,2.372729e-01,4.876500e+00
-0.013727,0.1201,0.2266,3.8902,16.8663,1,5.278603e-01,3.991251e-01,1.057500e+00,2.426726e-01,2.892423e-01,6.630000e+00
-0.059618,0.3303,0.2842,2.5253,66.6408,1,5.375397e-01,4.454636e-01,5.535000e-01,3.539792e-01,4.040770e-01,1.552500e+00
0.015861,0.2346,0.5766,1.7696,30.3513,1,4.939676e-01,3.953900e-01,7.995000e-01,1.637718e-01,2.011143e-01,9.790500e+00
-0.014499,0.1389,0.5594,1.6041,5.9814,1,5.111084e-01,3.342408e-01,9.285000e-01,9.221392e-02,1.100579e-01,1.809300e+01
0.007102,0.1376,0.1769,3.0656,23.1568,1,5.355275e-01,4.121205e-01,9.765000e-01,2.157702e-01,2.643438e-01,8.842500e+00
-0.172231,0.3390,0.2192,2.4217,29.7893,1,5.184748e-01,3.858564e-01,5.175000e-01,3.111103e-01,3.386034e-01,1.542000e+00
0.005967,0.3112,0.1774,3.7199,64.2137,1,5.418910e-01,4.360949e-01,5.490000e-01,2.612992e-01,3.191110e-01,3.216000e+00
-0.068853,0.2657,0.4705,4.3370,18.3596,1,5.185174e-01,3.562483e-01,7.350000e-01,3.028990e-01,3.072620e-01,2.583000e+00
-0.028637,0.1530,0.1905,1.0150,64.2266,1,5.730216e-01,5.398314e-01,1.095000e+00,4.132812e-01,4.999701e-01,3.823500e+00
-0.040539,0.2969,0.4173,3.9409,58.8751,1,5.354001e-01,4.570915e-01,7.005000e-01,4.076635e-01,4.407869e-01,1.504500e+00
-0.081934,0.3071,0.3949,1.4264,62.5797,1,5.431168e-01,4.431936e-01,5.985000e-01,3.359334e-01,3.870234e-01,2.031000e+00
-0.004416,0.1865,0.4416,1.9662,96.2513,1,5.852909e-01,5.892608e-01,1.089000e+00,4.754752e-01,5.707723e-01,2.848500e+00
0.001853,0.1331,0.1950,4.3910,38.9705,1,5.528921e-01,4.782407e-01,1.083000e+00,3.397185e-01,4.106583e-01,4.932000e+00
0.003098,0.1191,0.1968,4.5056,74.5216,1,5.819430e-01,5.969057e-01,1.378500e+00,4.866368e-01,5.842000e-01,3.265500e+00
0.044046,0.3029,0.5880,2.4442,8.5511,1,5.031113e-01,3.192494e-01,5.175000e-01,4.145046e-02,5.136555e-02,3.891000e+01
-0.027472,0.3310,0.1401,5.0225,83.7940,1,5.350999e-01,4.927509e-01,6.090000e-01,4.225730e-01,4.802335e-01,1.158000e+00
-0.015676,0.3142,0.2012,1.7202,28.5195,1,5.209947e-01,3.698715e-01,5.040000e-01,1.511483e-01,1.843319e-01,5.019000e+00
-0.012761,0.1886,0.3375,1.7439,69.2776,1,5.700853e-01,5.285945e-01,9.735000e-01,4.045651e-01,4.864038e-01,3.406500e+00
-0.013369,0.3460,0.4298,2.9247,64.6599,1,5.360460e-01,4.142994e-01,4.710000e-01,2.617796e-01,3.094948e-01,2.262000e+00
-0.029312,0.3216,0.2372,3.1402,26.5747,1,5.186766e-01,3.672625e-01,4.995000e-01,1.912164e-01,2.269162e-01,3.304500e+00
-0.123362,0.2984,0.1957,3.1693,21.3239,1,5.170046e-01,3.810041e-01,6.090000e-01,2.923057e-01,3.234955e-01,2.103000e+00
-0.009665,0.2845,0.2472,2.2043,56.8781,1,5.447356e-01,4.402160e-01,6.165000e-01,2.757896e-01,3.341420e-01,3.381000e+00
0.009303,0.1828,0.4498,1.4675,65.9644,1,5.720978e-01,5.137873e-01,9.285000e-01,3.398537e-01,4.188474e-01,6.622500e+00
-0.103709,0.3003,0.5469,3.9988,24.1623,1,5.120100e-01,3.636264e-01,7.680000e-01,4.000002e-01,3.551507e-01,1.479000e+00
-0.028062,0.3446,0.3997,3.6351,19.0956,1,5.115799e-01,3.382822e-01,4.425000e-01,1.576075e-01,1.810226e-01,3.426000e+00
-0.143738,0.2883,0.2906,3.6886,23.5521,1,5.052402e-01,4.041397e-01,8.055000e-01,4.172833e-01,3.994425e-01,1.336500e+00
-0.010952,0.3417,0.2464,2.1187,91.7819,1,5.490932e-01,4.552878e-01,4.950000e-01,2.994926e-01,3.625496e-01,2.212500e+00
0.022749,0.2016,0.3619,3.1755,17.0214,1,5.188504e-01,3.670500e-01,7.740000e-01,1.248565e-01,1.536663e-01,1.372200e+01
0.007795,0.1809,0.1372,3.4992,16.3147,1,5.216680e-01,3.758932e-01,8.295000e-01,1.621007e-01,1.986866e-01,9.246000e+00
